id,appointment_date_time,collected_data,created_at,meeting_link,status,title,updated_at,tenant_id,contact_id,owner_id,reference_number,source
52f07662-0821-4c74-98d4-c9c1f234ee02,2026-06-19 10:00:00,"{""name"": ""Himanshu"", ""email"": ""Hkbharti77@gmail.com"", ""phone"": ""7050047159"", ""service_category"": ""opt_2"", ""initial_selection"": ""≡ƒÆ╗ Book Appointment"", ""specific_requirement"": ""Hi""}",2026-06-18 23:28:30.93689,,SCHEDULED,Appointment,,9431bdc0-7a42-4f5e-a86a-fc2b174f08bf,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,f2743829-9058-4a1e-aaf0-1a536e6508b9,GYAN-A-20260618-0001,MANUAL
b842688f-37c4-45ba-982f-2bbbb27181f1,2026-06-27 10:00:00,"{""name"": ""him"", ""email"": ""hkbharti77@gmail.com"", ""phone"": ""8777050047159"", ""service_category"": ""jhbj"", ""specific_requirement"": ""jjbj""}",2026-06-26 22:57:17.077368,,COMPLETED,Web Appointment,2026-06-26 23:00:47.361486,9431bdc0-7a42-4f5e-a86a-fc2b174f08bf,5bb50890-af30-40e2-8517-a57d9705d83d,f2743829-9058-4a1e-aaf0-1a536e6508b9,GYANF2-A-20260626-0001,MANUAL
c751d627-aedd-4f27-9ede-1154237d25fb,2026-06-28 10:00:00,"{""name"": ""himasnhu"", ""email"": ""hkbharti77@gmail.com"", ""phone"": ""7050047159"", ""service_category"": ""Repair/Maintenance"", ""specific_requirement"": ""testingg testing""}",2026-06-27 16:48:23.86119,https://meet.google.com/oqh-ceyv-vxr,SCHEDULED,Web Appointment,2026-06-28 04:14:47.976842,9431bdc0-7a42-4f5e-a86a-fc2b174f08bf,5bb50890-af30-40e2-8517-a57d9705d83d,f2743829-9058-4a1e-aaf0-1a536e6508b9,GYANF2-A-20260627-0001,MANUAL
2306b4da-303c-4353-9c5a-67cae39972f9,2026-06-29 10:00:00,"{""initial_selection"": ""Appointment"", ""Custom Question 1:"": ""Ghhhhhhh"", ""Custom Question 2:"": ""Bbbbbbbb"", ""Custom Selection 1:"": ""Option B"", ""Custom Selection 2:"": ""Option Y"", ""≡ƒÄé What is your age?"": ""55"", ""≡ƒæñ What is your gender?"": ""Male"", ""ΓÜí How urgent is your requirement?"": ""Within a week"", ""≡ƒÆ░ What is your estimated budget?"": ""45000"", ""≡ƒô« What is your pincode/zip code?"": ""55566"", ""≡ƒÅÖ∩╕Å Which city are you located in?"": ""Ghhhh"", ""≡ƒôì Please share your full address/location:"": ""Hhjjjn"", ""≡ƒòÉ When is the best time for us to contact you?"": ""Afternoon (12ΓÇô4pm)"", ""≡ƒôï Which service category are you interested in?"": ""Installation/Setup"", ""≡ƒô¥ Please describe your specific requirement in detail:"": ""Tyhhb njj""}",2026-06-28 01:11:13.348539,,NO_SHOW,Appointment,2026-06-28 10:15:19.980214,9431bdc0-7a42-4f5e-a86a-fc2b174f08bf,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,f2743829-9058-4a1e-aaf0-1a536e6508b9,GYANF2-A260628-0001,MANUAL
7f9b6c3b-a5a4-4e9b-a8f4-e74d3c23fba4,2026-06-29 10:00:00,"{""initial_selection"": ""≡ƒÆ╗ Book Appointment"", ""Custom Question 1:"": ""Hhhn"", ""Custom Question 2:"": ""Hhhn"", ""Custom Selection 1:"": ""Option B"", ""Custom Selection 2:"": ""Option Y"", ""≡ƒÄé What is your age?"": ""45"", ""≡ƒæñ What is your gender?"": ""Male"", ""ΓÜí How urgent is your requirement?"": ""Within a week"", ""≡ƒÆ░ What is your estimated budget?"": ""56666"", ""≡ƒô« What is your pincode/zip code?"": ""556777"", ""≡ƒÅÖ∩╕Å Which city are you located in?"": ""Hhjjk"", ""≡ƒôì Please share your full address/location:"": ""Thhjk"", ""≡ƒòÉ When is the best time for us to contact you?"": ""Afternoon (12ΓÇô4pm)"", ""≡ƒôï Which service category are you interested in?"": ""Consultation"", ""≡ƒô¥ Please describe your specific requirement in detail:"": ""Tiffin""}",2026-06-28 02:43:12.459138,,SCHEDULED,Appointment,,9431bdc0-7a42-4f5e-a86a-fc2b174f08bf,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,f2743829-9058-4a1e-aaf0-1a536e6508b9,GYANF2-A260628-0002,WHATSAPP
0dfa222e-7c9e-4872-847a-89cb873c57e1,2026-06-27 21:17:04.339,{},2026-06-28 02:47:32.122352,,SCHEDULED,demo call,,9431bdc0-7a42-4f5e-a86a-fc2b174f08bf,a91cf57d-7dcf-4920-91b3-5185b71f6622,f2743829-9058-4a1e-aaf0-1a536e6508b9,GYANF2-A260628-0003,MANUAL
53e640e0-ac0a-4a2f-bd9d-8a999aa0abdb,2026-06-27 21:34:48.534,{},2026-06-28 03:05:12.220472,,SCHEDULED,kjnl,,9431bdc0-7a42-4f5e-a86a-fc2b174f08bf,705ebb7f-2697-4d69-9872-c863f714d164,f2743829-9058-4a1e-aaf0-1a536e6508b9,GYANF2-A260628-0004,MANUAL
28275428-d9f2-404e-876a-4c5d4193aa41,2026-06-27 21:35:16.874,{},2026-06-28 03:05:49.183212,,SCHEDULED,kjnjknk,,9431bdc0-7a42-4f5e-a86a-fc2b174f08bf,241402a5-2c82-4055-b0fe-fd2ba6438d9f,f2743829-9058-4a1e-aaf0-1a536e6508b9,GYANF2-A260628-0005,MANUAL
0990d34e-4488-4af1-9a4d-1028dc5bd250,2026-06-29 10:00:00,"{""initial_selection"": ""≡ƒÆ╗ Book Appointment"", ""≡ƒÅÖ∩╕Å Which city are you located in?"": ""Ghnnm"", ""≡ƒôï Which service category are you interested in?"": ""Installation/Setup""}",2026-06-28 04:19:45.36871,https://meet.google.com/jom-ogsn-yau,SCHEDULED,Appointment,2026-06-28 04:20:22.823336,9431bdc0-7a42-4f5e-a86a-fc2b174f08bf,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,f2743829-9058-4a1e-aaf0-1a536e6508b9,GYANF2-A260628-0006,WHATSAPP
ec01ec30-9889-4593-ad21-d2c26da903d2,2026-07-18 03:56:44.957,"{""email"": ""hkbharti777@outloook.com"", ""googleEventId"": ""r0h2dh03skhac1ha9j6er7oqvk""}",2026-06-28 09:28:49.331091,https://meet.google.com/ozo-hzmp-zgs,SCHEDULED,demo calll,,9431bdc0-7a42-4f5e-a86a-fc2b174f08bf,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,f2743829-9058-4a1e-aaf0-1a536e6508b9,GYANF2-A260628-0007,MANUAL
