created_at,updated_at,id,lead_id,status,type,message,source,name,email,phone,company,service_category,requirement,budget,city,country,age,gender,address,pincode,preferred_date,additional_details
2026-05-20 23:00:08.053854,,fa58ee6b-b9ba-4c21-af8f-e1eddb591bbf,4c881101-a48a-4a17-bf36-6e0304e9ba30,OPEN,FLOW,"Project type: srv_3e0ac51e-201b-4314-97af-f43c7d6ccedb
Budget: opt_2
Deadline: opt_2
Email: Hkbharti77@gmail.com
Has existing brand: Yes
Initial selection: ≡ƒÆ╗ Start Project",WhatsApp Lead Capture Flow,,,,,,,,,,,,,,,
2026-05-20 23:06:42.659343,,fa6dc5f2-a740-4bb8-a2d0-6740bd61e4ad,92d1f740-2cc1-440a-b577-99c6f44f82a7,OPEN,FLOW,"Project type: srv_3e0ac51e-201b-4314-97af-f43c7d6ccedb
Budget: opt_1
Deadline: opt_2
Email: Hkbharti77@gmail.com
Has existing brand: opt_1
Initial selection: ≡ƒÆ╗ Start Project",WhatsApp Lead Capture Flow,,,,,,,,,,,,,,,
2026-05-21 00:05:17.169146,,fbd7b42a-35a5-4a22-9d5b-1e304bbad1b5,a9db6bdc-909b-4155-8253-74ecdf079419,OPEN,FLOW,"Project type: srv_3e0ac51e-201b-4314-97af-f43c7d6ccedb
Budget: opt_1
Deadline: opt_2
Email: hkbharti77@gmail. com
Has existing brand: opt_1
Initial selection: ≡ƒÆ╗ Start Project",WhatsApp Lead Capture Flow,,,,,,,,,,,,,,,
2026-05-21 07:51:20.371675,,edd02365-1780-449d-87b8-5e2b38ba16af,2bcaf158-e0f4-4a0f-819a-3d5df5a3b3c7,OPEN,FLOW,"Project type: srv_3e0ac51e-201b-4314-97af-f43c7d6ccedb
Budget: opt_1
Deadline: opt_1
Email: hkbharti77@gmail.com
Has existing brand: opt_1
Initial selection: ≡ƒÆ╗ Start Project",WhatsApp Lead Capture Flow,,,,,,,,,,,,,,,
2026-05-21 22:16:17.632529,,42365605-fd96-4366-9935-bcf6e44ef0f1,29cf8295-fa84-420e-b15e-39b981621582,OPEN,FLOW,"Project type: srv_3e0ac51e-201b-4314-97af-f43c7d6ccedb
Budget: opt_1
Deadline: opt_1
Email: Hkbharti77@gmail.com
Has existing brand: opt_1
Initial selection: ≡ƒÆ╗ Start Project",WhatsApp Lead Capture Flow,,,,,,,,,,,,,,,
2026-06-13 09:56:23.926261,,b4b48710-bd0b-4754-87f4-f9aa69cc3735,4d64cefb-2dd6-4419-8bed-2cf4bad05557,OPEN,FLOW,"Project type: srv_3e0ac51e-201b-4314-97af-f43c7d6ccedb
Budget: opt_2
Deadline: opt_2
Email: Himanshu.bharti@mobiloitte.com
Has existing brand: opt_1
Initial selection: ≡ƒÆ╗ Start Project",WhatsApp Lead Capture Flow,,,,,,,,,,,,,,,
2026-06-15 22:26:52.147103,,ce079ac2-5f57-49b1-b3eb-6360fc65b54e,65de6705-6311-4d5c-8b77-135b97ebc0d3,OPEN,FLOW,"Email: Himanshu.bharti@mobiloitte.com
Initial selection: ≡ƒÆ╗ Enquire Now
Kickoff date: Testing
Service: srv_3e0ac51e-201b-4314-97af-f43c7d6ccedb",WhatsApp Lead Capture Flow,,,,,,,,,,,,,,,
2026-06-16 01:00:44.871746,,794959c1-3dd6-4e74-a360-5d7f26f1b7c6,7ecd1d52-7189-47e5-a9d2-674a2bc212d0,OPEN,FLOW,"Name: Himanshu
Email: Hkbharti77@gmail.com
Initial selection: ≡ƒÆ╗ Enquire Now
Phone: 70500 47159
Service category: opt_1
Specific requirement: Testing Testing Testing",WhatsApp Lead Capture Flow,,,,,,,,,,,,,,,
2026-06-16 01:02:48.417542,,c80b2c5c-9690-428e-99a6-0f003d6467b5,5104fdaa-3dad-4f02-a681-8891fea09bc5,OPEN,FLOW,"Name: H
Email: Hjjj
Initial selection: ≡ƒÆ╗ Enquire Now
Phone: 66778
Service category: opt_2
Specific requirement: Ttyt",WhatsApp Lead Capture Flow,,,,,,,,,,,,,,,
2026-06-16 08:35:19.936625,,851a3d25-fefa-4dd4-a792-d8cc8dec5e19,33f6cb2d-94c9-4f9a-beec-fa7ab34fa39f,OPEN,FLOW,"Name: Himanshu
Email: 70500 47159
Initial selection: Enquire Now
Phone: Hkbharti77@gmail.com
Service category: opt_2
Specific requirement: Testing",WhatsApp Lead Capture Flow,,,,,,,,,,,,,,,
2026-06-16 23:40:55.333995,,cd6d5598-3cc3-49a3-8c62-d76f609cd204,ae6e45cd-9451-498d-ae05-564fc88a99d0,OPEN,FLOW,"Name: Himanshu
Email: Hkbharti77@gmail.com
Initial selection: ≡ƒÆ╗ Enquire Now
Phone: 70500 47159
Service category: opt_2
Specific requirement: Testing Testing Testing",WhatsApp Lead Capture Flow,,,,,,,,,,,,,,,
2026-06-27 15:33:02.174056,,c668cf7f-2f3c-4f50-935c-e362314a6678,534e761e-7446-49d1-9816-4037fe9aac35,OPEN,WEB_WIDGET,"Web widget submission:
ΓÇó name: him
ΓÇó specific_requirement: testing testing
ΓÇó phone: 7870383893
ΓÇó email: himanshukumar02001@gmail.com",web-widget,him,himanshukumar02001@gmail.com,7870383893,,,testing testing,,,,,,,,,
2026-06-27 15:41:57.729702,,1a5191ef-0e6b-467e-9da5-3297dcc9b991,80d0fa93-b99a-42b3-9b7d-a2b161dbe790,OPEN,WEB_WIDGET,Lead submitted via Web Widget.,web-widget,himasnu,himanshukumar02001@gmail.com,7050047159,,,testing testing,,,,,,,,,
2026-06-27 17:10:18.699568,,28482373-a5e5-4991-aecc-c5ffb693353e,d830fc8d-5f59-45cc-b6cf-16956519f2a6,OPEN,WEB_WIDGET,Lead submitted via Web Widget.,web-widget,kkj,njhjhghogj@g.com,78786876976,,Consultation,hjhj jbjhbjj,23333,njhbkjh jhbkj,,,,,,,
2026-06-27 17:18:43.283828,,907e2fb2-7cda-4845-9d77-3442b2720faa,75a5a692-0543-4d4d-bf84-626a84624158,OPEN,WEB_WIDGET,Lead submitted via Web Widget.,web-widget,him,bhjbjhghj@g.com,87686876789,,Consultation,"tegkdbb hbjbjdse

Additional Details:
pincode: 877876
address: knknj
gender: Male
custom_dropdown_2: Option Z
custom_dropdown_1: Option C
preferred_contact_time: Afternoon (12ΓÇô4pm)
source: Friend/Referral
urgency: Within a month
custom_text_1: kknjnj j
custom_text_2: mn  n,m
age: 33
preferred_date: 19/01/2002",33333,knjnjn,,,,,,,
2026-06-27 17:25:55.918732,,748939b2-a6f2-4dc7-adbb-8af8c871f015,44166c67-6218-4757-9802-c01967e75a25,OPEN,WEB_WIDGET,Lead submitted via Web Widget.,web-widget,jhhj,hbhghhgh@g.com,76565657578,,Consultation,"jknknlknl

Additional Details:
pincode: 33333
address: n mbjnjhkjn j
gender: Male
custom_dropdown_2: Option X
custom_dropdown_1: Option A
preferred_contact_time: Afternoon (12ΓÇô4pm)
source: Friend/Referral
urgency: Within a month
custom_text_1: jlnlnljn
custom_text_2: ljknklnl
age: 33
preferred_date: 122222",33333,jnkjjbjb jhbjhbj,,,,,,,
2026-06-27 17:43:51.885661,,0b043146-b6ff-486b-959e-2c60adb0386e,27787115-2779-4fb3-b2e1-dc50799db985,OPEN,FLOW,"Name: Himanshu
Email: Hkbharti77@gmail.com
Initial selection: ≡ƒÆ╗ Enquire Now
Phone: 70500 47159
Service category: Installation/Setup
Specific requirement: Testing Testing",WhatsApp Lead Capture Flow,Himanshu,Hkbharti77@gmail.com,70500 47159,,Installation/Setup,"Testing Testing

Additional Details:
initial_selection: ≡ƒÆ╗ Enquire Now",,,,,,,,,
2026-06-27 17:47:03.59655,,16ee6bf7-e380-4a5e-ae73-266d5af0ece6,ab4b18e2-fe97-4e17-a8cd-5456914db4c8,OPEN,FLOW,"Name: Him
Email: Hkbharti77@gmail.com
Initial selection: ≡ƒÆ╗ Enquire Now
Phone: 70500 47159
Service category: Consultation
Specific requirement: Yyvv. Ghh",WhatsApp Lead Capture Flow,Him,Hkbharti77@gmail.com,70500 47159,,Consultation,"Yyvv. Ghh

Additional Details:
initial_selection: ≡ƒÆ╗ Enquire Now",,,,,,,,,
2026-06-27 17:53:38.605878,,6a1c8958-1e9e-4f6c-9dda-e32dc23156e1,f2c7c6f8-d6c3-419f-aea7-3d97f0c1503e,OPEN,FLOW,"Name: Himanshu
Email: Hkbharti77@gmail.com
Initial selection: ≡ƒÆ╗ Enquire Now
Phone: 70500 47159
Service category: Consultation
Specific requirement: Testing Testing Testing",WhatsApp Lead Capture Flow,Himanshu,Hkbharti77@gmail.com,70500 47159,,Consultation,"Testing Testing Testing

Additional Details:
initial_selection: ≡ƒÆ╗ Enquire Now",,,,,,,,,
2026-06-27 17:59:06.841043,,f225b14c-42e1-48f2-93ea-bc4c198cbd7a,c404fce9-9925-4d55-a4a4-239ac60b44cc,OPEN,FLOW,"Name: Himanshu
Email: Hkbharti77@gmail.com
Initial selection: ≡ƒÆ╗ Enquire Now
Phone: 70500 47159
Service category: Installation/Setup
Specific requirement: Treat me",WhatsApp Lead Capture Flow,Himanshu,Hkbharti77@gmail.com,70500 47159,,Installation/Setup,"Treat me

Additional Details:
initial_selection: ≡ƒÆ╗ Enquire Now",,,,,,,,,
2026-06-27 18:15:45.027126,,58b671c4-98cd-4c4b-a9d7-2bfec9f157e6,a5e547ff-faf0-4316-88dd-0cda19a12c32,OPEN,FLOW,"Name: Him
Email: Hkbharti77@gmail.com
Initial selection: ≡ƒÆ╗ Enquire Now
Phone: 70500 47159
Service category: Installation/Setup
Specific requirement: Yes please",WhatsApp Lead Capture Flow,Him,Hkbharti77@gmail.com,70500 47159,,Installation/Setup,"Yes please

Additional Details:
initial_selection: ≡ƒÆ╗ Enquire Now",,,,,,,,,
2026-06-27 18:28:07.261752,,d40637bd-9bde-4209-90e6-1ff073cbf9bb,7e28d2d2-756a-48b4-8214-365d7d74e83d,OPEN,FLOW,"Name: Himanshu
Email: Hkbharti77@gmail.com
Initial selection: Enquire Now
Phone: 70500 47159
Service category: Installation/Setup
Specific requirement: Testing Testing",WhatsApp Lead Capture Flow,Himanshu,Hkbharti77@gmail.com,70500 47159,,Installation/Setup,"Testing Testing

Additional Details:
initial_selection: Enquire Now",,,,,,,,,
2026-06-27 22:08:40.783642,,cd82b96c-3bf1-43b6-82ad-4b37af0e5164,9b1addbb-80b7-44e7-adc7-2e133dc7313e,OPEN,FLOW,"Name: Himanshu
Email: Himanshu.bharti@mobiloitte.com
Initial selection: ≡ƒÆ╗ Enquire Now
Phone: 70500 47159
Service category: Consultation
Specific requirement: Testing",WhatsApp Lead Capture Flow,Himanshu,Himanshu.bharti@mobiloitte.com,70500 47159,,Consultation,"Testing

Additional Details:
initial_selection: ≡ƒÆ╗ Enquire Now",,,,,,,,,
2026-06-27 22:20:25.833636,,d7b180f0-56be-4e30-96f6-9f5dd8401126,e6fb91d8-c0e0-4d6e-bdc7-580b8e23c310,OPEN,FLOW,"Name: Himanshu
Email: Hkbharti77@gmail.com
Initial selection: ≡ƒÆ╗ Enquire Now
Phone: 70500 47159
Service category: Installation/Setup
Specific requirement: Treat me",WhatsApp Lead Capture Flow,Himanshu,Hkbharti77@gmail.com,70500 47159,,Installation/Setup,"Treat me

Additional Details:
initial_selection: ≡ƒÆ╗ Enquire Now",,,,,,,,,
2026-06-27 22:30:53.792198,,3ab89f21-c52b-4442-aa5d-394333935e1e,941533c8-dc33-4f31-a1eb-42ef1cbeedc4,OPEN,FLOW,"Name: Himanshu
Email: Hkbharti77@gmail.com
Initial selection: ≡ƒÆ╗ Enquire Now
Phone: 70500 47159
Service category: Installation/Setup
Specific requirement: Testing Testing",WhatsApp Lead Capture Flow,Himanshu,Hkbharti77@gmail.com,70500 47159,,Installation/Setup,"Testing Testing

Additional Details:
initial_selection: ≡ƒÆ╗ Enquire Now",,,,,,,,,
